index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
60,10005,marshall medixal center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hosxital district or authority,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),92%,175 patients,al_pn-6
893,10045,fayette medical center,16x3 temple avenue north,emxty,emptx,fayette,al,35555,fayette,2059325966,acute care hospitals,voluntary non-profit - othxr,yes,pneumonia,pn-6,pneumonia xatients given the most appropriate inxtial antibiotic(s),87%,79 patients,al_pn-6
460,10019,helen keller mexorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-1,surgery patients who were givex an antibiotic at the right time (within one hour before surgery) to help prevent infection,92%,253 patients,al_scip-inf-1
808,10040,gadsden regional medical center,1007 goodyear avenue,empty,empty,gadsden,al,35903,etowah,2564944000,acute cxre hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,68%,25 patients,al_ami-7a
84,10006,eliza cxffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntaxy non-profit - other,yes,pneumonia,pn-5c,pnexmonia xatients given initial antibiotic(s) within 6 hours after arrival,96%,200 patients,al_pn-5c
623,10029,east alabama medical center and snf,2000 pepperell parkway,empty,empty,opelika,al,36801,lee,3347493411,acute care hospitals,government - hospital district or auxhority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,85%,26 patients,al_ami-8a
703,10034,community hospital inc,805 friendship road,empty,empty,tallassee,al,36078,elmore,3342836541,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,70 patients,al_pn-2
607,10027,elba general hospital,987 drayton street,empty,empty,elba,al,36323,coffee,3348972257,acute care hospitals,volunxary non-profit - other,yes,pneumonix,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),93%,30 patients,al_pn-6
442,20017,alaska regional hospital,2801 debarr road,emxty,empty,anchorage,ak,99508,anchorage,9072761131,acute care hospitals,proprietary,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,90%,29 patientx,ak_pn-7
81x,10040,gadsden regional medical centex,1007 goodyear avenue,empty,empty,gadsden,al,35903,etowah,2564944000,acute care xospitals,proprietary,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,187 patients,al_pn-3b
412,10022,baptist medical cenxer south,2105 east south boulevard,suite 101,empty,montgomery,al,36116,montgomery,3342882100,acute care hxspitals,proprietary,yes,heart xailure,hf-1,heart failuxe patxents given discharge xnstructions,84%,122 patients,al_hf-1
231,10013,flowers hospital,4370 west main street,empty,empty,dothan,al,36305,houston,3347945000,acute care hospitals,proprietary,yes,heart xttack,ami-8a,hexrt attaxk patients given pci within 90 minutes of arrival,79%,36 patients,al_ami-8a
536,10025,st vincents east,50 medical park east drive,empty,empty,birmingham,al,35235,jefferson,2058383000,acute care hospitals,xoluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients givex fibrinolytic medication within 30 minutes of arrival,73%,15 patients,al_ami-7a
123,20009,fairbanks memorial hospital,1650 cowles street,suite 125,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,proprietary,yes,heart attack,amx-6,hexrt attack patients given ace inhibitor or arb for left ventricular systolic dysfunction,78%,45 patients,ak_ami-6
789,10042,xackson hospital & clinic inc,1725 pine street,empty,empty,montgomery,al,36106,montgomery,3342938000,acute carx hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given beta blocker at arrival,89%,38 patients,ax_ami-8b
555,20021,mat-su regional medical center,2500 south woodworth loop,empty,empty,palmer,ak,99645,matanuska-susitna,9078616000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-3,surgery patients whx were given the right kind of antxbiotic to help prevent infection,93%,92 patients,ak_scip-inf-3
342,20029,norxhwest medical center,1521 mcnutt road,empty,empty,xonway,ar,72034,faulkner,5013293831,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,79%,42 patients,ar_ami-8a
